Very Small	Small	Medium	Large	Very Large
59.5927	27.8671	8.36013	4.18006	0
67.6208	22.5403	6.08229	3.75671	0
66.5505	26.5804	5.37581	1.49328	0
65.5018	27.6882	4.39068	2.41935	0
69.9597	24.7984	3.62903	1.6129	0
62.5731	25.9649	7.60234	3.85965	0
64.7482	25.8993	6.29496	3.05755	0
65.5556	25.3968	6.19048	2.85714	0
66.1355	25.498	7.56972	0.796813	0
66.3717	26.9912	3.53982	3.09735	0
70.4918	24.1803	2.86885	2.45902	0
69.2308	26.3314	2.66272	1.77515	0
64.4068	32.2034	1.69492	1.69492	0
63.6364	29.0909	1.81818	5.45455	0
71.1864	20.339	6.77966	1.69492	0
71.978	20.3297	5.49451	2.1978	0
68.0328	21.3115	9.01639	1.63934	0
65.5319	29.7872	2.12766	2.55319	0
61.3861	31.6832	0.990099	5.94059	0
61.6438	31.5068	4.10959	2.73973	0
67.9012	28.3951	3.7037	0	0
64.8438	25.7813	8.59375	0.78125	0
65.1163	30.2326	2.32558	2.32558	0
45.2159	25.1482	15.6647	8.55207	5.41914
37.2549	32.5792	17.4962	8.74811	3.92157
39.5466	28.2746	17.6952	9.50882	4.97481
43.7666	27.1088	15.0663	8.96552	5.09284
43.7859	26.195	11.6635	5.16252	13.1931
38.934	27.81	18.3082	10.0811	4.86674
46.4523	26.0532	15.9645	7.09534	4.43459
34.2105	30.8271	21.6165	8.27068	5.07519
40.0751	29.6157	15.3713	10.2283	4.70962
45.4439	24.5327	16.2383	9.22897	4.55607
46.4789	25.1761	17.6056	5.98592	4.75352
42.663	27.6268	17.1196	7.51812	5.07246
46.5969	26.7016	14.1361	7.50436	5.06108
40.0888	27.86	18.5404	9.714	3.79684
38.5965	26.3158	21.0526	8.68839	5.3467
34.8726	28.8217	21.8153	9.3949	5.09554
41.3206	26.4111	17.9979	9.69116	4.57934
47.4443	25.557	15.8585	6.29096	4.84928
37.1429	34	16	10.5714	2.28571
40.1734	30.6358	13.5838	12.1387	3.46821
34.8485	24.2424	15.1515	21.2121	4.54545
51.9588	21.6495	15.6701	6.59794	4.12371
45.1264	25.722	16.1552	8.57401	4.42238
39.726	24.6575	17.8082	9.58904	8.21918
41.954	28.7356	14.3678	9.77011	5.17241
46.1538	24.359	19.2308	5.12821	5.12821
52.1898	21.5328	14.9635	6.20438	5.10949
44.0559	23.0769	18.8811	7.69231	6.29371
53.8462	16.9231	16.1538	7.69231	5.38462
47.8555	23.702	16.7043	7.22348	4.51467
47.8022	18.1319	18.1319	9.89011	6.04396
38.558	27.5862	15.047	11.9122	6.89655
40	30	16	10	4
39.3701	29.9213	14.9606	7.08661	8.66142
54.1667	27.7778	12.5	2.77778	2.77778
40.5405	25	19.5946	8.10811	6.75676
51.6484	17.5824	20.8791	5.49451	4.3956
25	57.6923	16.8803	0.42735	0
40.8602	40.8602	18.2796	0	0
30.9859	66.5493	2.46479	0	0
40.25	50.25	9.25	0.25	0
28.534	70.1571	1.3089	0	0
30.2198	57.6923	10.989	1.0989	0
33.5484	61.2903	5.16129	0	0
23.3871	55.6452	20.9677	0	0
22.5974	75.3247	2.07792	0	0
27.1493	52.9412	19.9095	0	0
23.7037	59.2593	17.037	0	0
38.8889	51.8519	9.25926	0	0
31.4286	56.5714	12	0	0
34.238	44.4676	20.8768	0.417537	0
26.2376	61.3861	11.8812	0.49505	0
31.4103	57.6923	10.8974	0	0
21.5859	60.3524	18.0617	0	0
17.4528	71.2264	11.3208	0	0
33.6134	50.4202	15.9664	0	0
35.3846	50.7692	13.8462	0	0
30.303	66.6667	3.0303	0	0
36.3636	36.3636	27.2727	0	0
13.6364	73.6364	12.7273	0	0
83.2268	11.9808	3.83387	0.958466	0
75.8929	18.1548	5.05952	0.892857	0
72.766	17.5887	6.95035	2.69504	0
76.9231	12.704	7.45921	2.7972	0.11655
73.8994	11.6352	11.0063	3.45912	0
73.1788	13.5762	9.60265	3.31126	0.331126
71.2054	18.0804	8.25893	1.78571	0.669643
70.8661	18.8976	7.87402	2.3622	0
85.5105	7.80781	4.8048	1.87688	0
76.7892	11.6054	9.47776	1.93424	0.193424
76.2097	12.5	8.06452	3.22581	0
72.837	13.8833	10.2616	2.8169	0.201207
76.7442	13.9535	7.44186	1.39535	0.465116
79.1367	11.5108	8.39329	0.839329	0.119904
74.73	15.7667	7.34341	1.94384	0.215983
80.8696	12.1739	6.08696	0.869565	0
74.2765	17.2026	7.3955	0.96463	0.160772
75.7679	12.2867	8.87372	2.73038	0.341297
65.1163	25.5814	6.97674	1.86047	0.465116
61.6	19.2	9.6	8.8	0.8
70.5882	22.549	5.88235	0.980392	0
85.5932	9.32203	3.38983	1.69492	0
85.7798	10.7798	2.29358	1.14679	0
75	16.0714	7.14286	1.78571	0
82.1429	16.0714	1.78571	0	0
79.2453	16.9811	1.88679	1.88679	0
85.5556	10	4.44444	0	0
77.4194	16.129	4.51613	1.93548	0
87.5	7.95455	2.27273	2.27273	0
88.2353	9.80392	1.96078	0	0
64.9254	23.8806	8.95522	1.49254	0.746269
75	10.7143	8.92857	5.35714	0
25.9654	31.5579	31.6911	6.79095	3.99467
24.1706	40.7583	21.8009	6.63507	6.63507
20.6197	41.3462	28.5256	8.97436	0.534188
24.631	41.0517	27.583	5.90406	0.830258
7.04698	47.9866	36.2416	8.05369	0.671141
19.3662	40.493	34.8592	4.92958	0.352113
32.3404	36.5957	22.9787	6.80851	1.2766
19.2157	36.4706	32.9412	9.41176	1.96078
28.4693	36.5854	26.5349	6.8545	1.55593
22.0217	32.6715	30.3249	10.8303	4.15162
21.9136	40.4321	26.2346	8.33333	3.08642
22.5397	42.0635	26.8254	5.71429	2.85714
20.5036	53.0576	21.4029	4.4964	0.539568
20.5986	35.5634	35.7394	6.69014	1.40845
22.0809	42.0809	24.5087	9.59538	1.7341
27.9476	44.7598	20.524	5.67686	1.0917
20.7171	44.2231	28.9509	4.78088	1.32802
23.3591	40.5405	26.4479	8.10811	1.5444
18.1102	67.7165	14.1732	0	0
27.6923	32.3077	33.8462	6.15385	0
21.7742	37.0968	35.4839	3.22581	2.41935
22.9167	33.3333	33.3333	5.41667	5
23.2227	27.0142	39.8104	6.63507	3.31754
19.2308	32.6923	36.5385	11.5385	0
27.2727	46.7532	19.4805	5.19481	1.2987
21.5385	35.3846	24.6154	15.3846	3.07692
20.7547	28.3019	37.7358	11.3208	1.88679
20.1117	37.4302	34.6369	6.70391	1.11732
25.4717	34.9057	33.9623	4.71698	0.943396
13.8889	48.6111	36.1111	1.38889	0
17.2414	47.1264	31.0345	3.44828	1.14943
70.3069	24.0542	4.06852	1.57031	0
71.2424	23.1103	3.38836	2.25891	0
70	23.7956	5.40146	0.80292	0
68.6578	21.6077	5.38348	4.35103	0
63.3065	25.9409	4.43548	6.3172	0
66.9014	21.5962	8.92019	2.58216	0
64.4114	24.3572	8.2544	2.977	0
67.2673	24.6246	6.30631	1.8018	0
71.7347	22.6617	3.70828	1.89534	0
69.5108	22.0705	5.34699	3.07167	0
67.462	21.692	7.15835	3.68764	0
65.0115	25.4042	5.31178	4.27252	0
71.1111	21.1111	5.87302	1.90476	0
65.6054	26.821	5.25808	2.31548	0
65.8243	25.6318	5.77617	2.76775	0
71.6724	23.7201	3.41297	1.19454	0
66.3102	24.6881	5.08021	3.92157	0
62.4726	28.9934	4.59519	3.93873	0
65.1885	24.8337	5.09978	4.87805	0
62.3711	24.2268	6.18557	7.21649	0
70.8955	24.6269	2.98507	1.49254	0
69.0722	28.1787	2.4055	0.343643	0
64.4195	32.7715	1.49813	1.31086	0
63.8298	26.5957	4.25532	5.31915	0
75	13.3333	6.66667	5	0
64.7619	29.5238	3.80952	1.90476	0
70.0855	23.0769	4.2735	2.5641	0
72.7273	25.4545	1.81818	0	0
69.6498	26.8482	0.77821	2.72374	0
74.1379	22.4138	1.72414	1.72414	0
64.3312	31.8471	2.54777	1.27389	0
67.8571	26.4286	3.57143	2.14286	0
69.3069	24.7525	5.94059	0	0
76.6234	19.4805	1.2987	2.5974	0
75.4098	14.7541	9.83607	0	0
46.8447	26.4563	15.4369	7.76699	3.49515
42.8571	27.3642	19.5171	6.94165	3.31992
43.06	25.5153	17.0866	9.39075	4.94732
43.895	28.0088	16.8053	7.8337	3.45733
38.1714	25.1429	16.4571	11.0857	9.14286
45.4841	24.8983	16.5175	7.97396	5.12612
42.7536	27.1739	19.4928	6.52174	4.05797
33.5423	30.721	23.8245	6.58307	5.32915
40.4083	30.3556	16.4618	8.12116	4.6532
43.2483	25.8735	16.9027	8.2153	5.76015
37.5527	26.5823	16.6667	9.91561	9.2827
43.9759	27.3666	16.0069	7.14286	5.50775
43.5159	26.9452	17.147	7.3487	5.04323
38.7112	29.0687	18.9087	9.64252	3.66886
42.5125	23.7105	18.802	8.65225	6.3228
36.6154	30	18.6154	9.23077	5.53846
39.725	27.424	18.0174	10.4197	4.41389
47.6531	23.5714	16.8367	8.46939	3.46939
44.4444	27.3611	15.5556	8.19444	4.44444
39.5349	33.9535	18.1395	7.90698	0.465116
44.9339	25.7709	17.6211	8.14978	3.52423
43.9583	22.0833	18.75	8.95833	6.25
45.6227	24.0444	18.619	7.76819	3.94575
44.2478	28.7611	15.0442	8.40708	3.53982
48.9209	20.1439	15.1079	12.2302	3.59712
37.931	32.7586	15.5172	12.069	1.72414
48.8372	20	14.8837	10.2326	6.04651
45.1456	27.1845	14.0777	9.70874	3.8835
45.5882	27.9412	13.2353	5.88235	7.35294
43.4109	25.5814	15.8915	10.0775	5.03876
45.1429	21.1429	19.4286	12	2.28571
45.7516	26.7974	20.2614	3.92157	3.26797
33.9623	39.6226	18.8679	7.54717	0
44.5205	23.9726	16.4384	8.21918	6.84932
45.2055	21.9178	19.863	7.53425	5.47945
55.6338	19.0141	13.3803	8.4507	3.52113
37.0861	25.1656	19.2053	13.9073	4.63576
27.7662	59.7077	11.8998	0.626305	0
45.5696	38.3966	15.1899	0.843882	0
30.1587	48.6772	21.164	0	0
36.7483	54.1203	8.68597	0.445434	0
20.6349	64.2857	15.0794	0	0
22.2642	62.2642	15.4717	0	0
17.5182	59.854	22.6277	0	0
19.802	59.4059	20.7921	0	0
43.7299	56.2701	0	0	0
26.6949	58.0508	15.2542	0	0
39.4366	50.7042	9.85915	0	0
29.646	61.5044	8.84956	0	0
25.1748	65.035	9.79021	0	0
27.1795	62.0513	10.7692	0	0
33.9623	58.4906	7.54717	0	0
50	41.5254	8.47458	0	0
22.5256	68.2594	9.21502	0	0
18.4211	61.5789	19.4737	0.526316	0
22.9814	49.6894	21.7391	3.72671	1.86335
24.4444	55.5556	20	0	0
